DAUID  PROBABILITY  CUMULATIVE PROBABILITY (2006)
35180607    0.000140974         0.0582629
35180608    9.50003e-05         0.0583579
35180609    4.6692e-05         0.0584046
35180611    6.1418e-05         0.058466
35180613    8.81761e-05         0.0585542
35180614    6.75239e-05         0.0586217
35180615    7.32706e-05         0.0586949
35180616    6.7883e-05         0.0587628
35180617    7.93765e-05         0.0588422
35180618    0.000202033         0.0590442
35180619    3.8072e-05         0.0590823
35180620    0.000209755         0.0592921
35180621    4.86675e-05         0.0593407
35180622    9.57187e-05         0.0594365
35180623    7.59644e-05         0.0595124
35180624    8.85353e-05         0.059601
35180625    7.8299e-05         0.0596793
35180626    0.000144745         0.059824
35180627    0.000149594         0.0599736
35180628    6.89606e-05         0.0600426
35180629    7.39889e-05         0.0601165
35180630    8.51232e-05         0.0602017
35180631    8.74578e-05         0.0602891
35180632    8.4764e-05         0.0603739
35180633    8.97924e-05         0.0604637
35180634    5.54917e-05         0.0605192
35180635    0.000107392         0.0606266
35180636    0.000136844         0.0607634
35180637    0.000118885         0.0608823
35180638    0.000104698         0.060987
35180639    7.50664e-05         0.0610621
35180640    8.87149e-05         0.0611508
35180641    8.88945e-05         0.0612397
35180642    9.62574e-05         0.0613359
35180643    9.69758e-05         0.0614329
35180644    8.51232e-05         0.061518
35180645    0.000102722         0.0616207
35180646    9.41024e-05         0.0617148
35180647    0.000117269         0.0618321
35180648    0.000114395         0.0619465
35180649    8.24294e-05         0.0620289
35180650    0.000102184         0.0621311
35180651    8.29682e-05         0.0622141
35180652    0.00011242         0.0623265
35180654    0.000120501         0.062447
35180655    0.000110445         0.0625575
35180656    0.000117987         0.0626754
35180657    0.000122656         0.0627981
35180658    0.000119424         0.0629175
35180659    0.000146541         0.0630641
35180660    0.000175813         0.0632399
35180661    0.000104339         0.0633442
35180662    0.000157675         0.0635019
35180663    0.000128942         0.0636308
35180665    0.000222865         0.0638537
35180666    8.56619e-05         0.0639394
35180667    9.8592e-05         0.064038
35180668    9.80533e-05         0.064136
35180669    8.06336e-05         0.0642166
35180670    9.10495e-05         0.0643077
35180671    6.50097e-05         0.0643727
35180672    0.000105596         0.0644783
35180676    9.60779e-05         0.0645744
35180677    0.0001126         0.064687
35180679    0.000209037         0.064896
35180680    7.25522e-05         0.0649686
35180681    9.67962e-05         0.0650654
35180682    7.72215e-05         0.0651426
35180683    0.00020311         0.0653457
35180684    0.000117448         0.0654631
35180685    0.000149235         0.0656124
35180686    9.60779e-05         0.0657085
35180687    0.000100029         0.0658085
35180688    9.2127e-05         0.0659006
35180689    0.000134868         0.0660355
35180690    6.37526e-05         0.0660992
35180691    9.4282e-05         0.0661935
35180692    6.39322e-05         0.0662574
35180693    6.73443e-05         0.0663248
35180697    0.000107751         0.0664325
35180698    0.000395984         0.0668285
35180699    0.000115653         0.0669442
35180701    0.000392393         0.0673366
35180702    0.000126607         0.0674632
35180703    0.000169169         0.0676323
35180704    0.000113498         0.0677458
35180707    8.31477e-05         0.067829
35180710    8.09927e-05         0.06791
35180711    4.88471e-05         0.0679588
35180712    4.68716e-05         0.0680057
35180713    4.759e-05         0.0680533
35180714    7.00381e-05         0.0681233
35180715    9.87716e-05         0.0682221
35180716    0.000151031         0.0683731
35180717    9.26657e-05         0.0684658
35180718    0.000114216         0.06858
35180720    9.60779e-05         0.0686761
35180721    6.39322e-05         0.06874
35180722    6.69851e-05         0.068807
35180723    8.13519e-05         0.0688884
35180724    0.000111163         0.0689995
35180725    4.18433e-05         0.0690414
35180726    0.000107033         0.0691484
35180727    0.000133431         0.0692818
35180732    6.7883e-05         0.0693497
35180733    9.15882e-05         0.0694413
35180734    9.05107e-05         0.0695318
35180735    7.47073e-05         0.0696065
35180736    8.36865e-05         0.0696902
35180737    9.8592e-05         0.0697888
35180738    6.66259e-05         0.0698554
35180739    9.23066e-05         0.0699477
35180762    7.45277e-05         0.0700223
35180767    3.93291e-05         0.0700616
35180768    0.000118706         0.0701803
35180769    9.15882e-05         0.0702719
35180770    9.35637e-05         0.0703654
35180771    6.8781e-05         0.0704342
35180772    8.65599e-05         0.0705208
35180773    9.24862e-05         0.0706133
35180774    9.12291e-05         0.0707045
35180775    8.20702e-05         0.0707866
35180776    8.08131e-05         0.0708674
35180777    8.83557e-05         0.0709557
35180778    0.000132893         0.0710886
35180779    7.29114e-05         0.0711615
35180780    7.02176e-05         0.0712318
35180781    5.89038e-05         0.0712907
35180782    8.6919e-05         0.0713776
35180783    9.17678e-05         0.0714693
35180784    8.60211e-05         0.0715554
35180785    0.000179046         0.0717344
35180786    0.00035037         0.0720848
35180791    0.000266324         0.0723511
35180792    0.000157855         0.072509
35180793    0.000284821         0.0727938
35180794    0.000432799         0.0732266
35180795    0.000494397         0.073721
35180796    0.000176891         0.0738979
35180797    0.000198262         0.0740961
35180798    0.000168091         0.0742642
35180799    0.000222506         0.0744867
35180800    0.000258961         0.0747457
35180801    0.000259859         0.0750056
35180802    0.000243517         0.0752491
35180803    0.000548093         0.0757972
35180804    0.000403527         0.0762007
35180805    0.00015157         0.0763523
35180806    0.000245672         0.0765979
35180807    0.000184434         0.0767824
35180808    0.000186948         0.0769693
35180810    0.000184972         0.0771543
35180811    0.000311041         0.0774653
35180812    0.000438007         0.0779033
35180813    0.000386107         0.0782894
35180816    0.000127505         0.0784169
35180817    7.77602e-05         0.0784947
35180818    8.29682e-05         0.0785777
35180819    9.10495e-05         0.0786687
35180820    7.81194e-05         0.0787468
35180821    0.00015121         0.0788981
35180822    7.90173e-05         0.0789771
35180823    0.000190719         0.0791678
35180824    0.000476798         0.0796446
35180825    0.000256088         0.0799007
35180826    0.000593168         0.0804938
35180827    0.000150672         0.0806445
35180828    0.000133611         0.0807781
35180829    0.000228611         0.0810067
35180830    9.48208e-05         0.0811016
35180831    0.000139358         0.0812409
35180832    0.000112959         0.0813539
35180833    0.000121579         0.0814755
35180834    0.000258602         0.0817341
35180835    0.000123913         0.081858
35180836    0.000106673         0.0819646
35180837    9.55391e-05         0.0820602
35180838    0.000396164         0.0824563
35180839    0.000167373         0.0826237
35180840    0.000127864         0.0827516
35180841    0.000390956         0.0831425
35180842    0.000124632         0.0832672
35180843    0.000115832         0.083383
35180844    0.000124273         0.0835073
35180845    9.06903e-05         0.083598
35180846    6.46505e-05         0.0836626
35180847    9.12291e-05         0.0837538
35180848    9.60779e-05         0.0838499
35180849    9.53595e-05         0.0839453
35180850    0.000117448         0.0840627
35180851    0.000104159         0.0841669
35180852    0.00011242         0.0842793
35180853    8.09927e-05         0.0843603
35180854    8.76374e-05         0.0844479
35180855    6.98585e-05         0.0845178
35180856    7.75806e-05         0.0845954
35180857    7.14747e-05         0.0846669
35180858    8.38661e-05         0.0847507
35180859    9.55391e-05         0.0848463
35180860    8.58415e-05         0.0849321
35180861    8.40457e-05         0.0850161
35180862    9.28453e-05         0.085109
35180863    8.65599e-05         0.0851956
35180864    9.71554e-05         0.0852927
35180865    8.85353e-05         0.0853812
35180866    9.30249e-05         0.0854743
35180867    8.6919e-05         0.0855612
35180868    8.65599e-05         0.0856477
35180869    7.81194e-05         0.0857259
35180870    9.48208e-05         0.0858207
35180871    8.72782e-05         0.085908
35180872    8.40457e-05         0.085992
35180873    9.80533e-05         0.0860901
35180874    8.65599e-05         0.0861766
35180875    0.000136844         0.0863135
35180876    8.70986e-05         0.0864006
35180877    9.71554e-05         0.0864977
35180878    9.08699e-05         0.0865886
35180879    9.60779e-05         0.0866847
35180880    6.5728e-05         0.0867504
35180881    8.92536e-05         0.0868397
35180882    0.000104518         0.0869442
35180883    7.72215e-05         0.0870214
35180884    6.66259e-05         0.087088
35180885    8.4764e-05         0.0871728
35180886    0.00010811         0.0872809
35180887    6.48301e-05         0.0873457
35180888    0.000424179         0.0877699
35180889    0.000102543         0.0878724
35180890    0.000106673         0.0879791
35180891    0.000207241         0.0881864
35180892    0.000245313         0.0884317
35180893    2.76561e-05         0.0884593
35180894    1.6881e-05         0.0884762
35180895    2.04727e-05         0.0884967
35180896    2.06522e-05         0.0885173
35180897    1.41872e-05         0.0885315
35180898    1.25709e-05         0.0885441
35180899    0.000117448         0.0886615
35180900    1.31097e-05         0.0886746
35180901    1.95747e-05         0.0886942
35180902    1.02363e-05         0.0887045
